
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240521\panel_reflec\reflec_panels__00150.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/21/2024 at 11:24:16
VNIR integration time : 34
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 1.25
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2069
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Tue May 21 11:13:53 2024
DCC value was 0
Data is compared to a white reference:
10 white reference measurements taken Tue May 21 11:13:55 2024
There was no foreoptic attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	reflec_panels-00150.asd
350	 4.34852393157055E-02 
351	 4.38144056313948E-02 
352	 4.33946404557453E-02 
353	 4.33517275465499E-02 
354	 4.37039847878719E-02 
355	 0.044143130242638 
356	 4.47803754151865E-02 
357	 4.47913063829003E-02 
358	 4.44156215140428E-02 
359	 4.47996415903609E-02 
360	 4.49029817380003E-02 
361	 4.48816012335015E-02 
362	 4.49440656927437E-02 
363	 4.48595008324873E-02 
364	 4.50520427335243E-02 
365	 4.53493923510519E-02 
366	 4.53719368070466E-02 
367	 4.51715168064909E-02 
368	 4.54212293376254E-02 
369	 4.60775332361444E-02 
370	 4.60830256795806E-02 
371	 4.60865429012137E-02 
372	 4.63415377782847E-02 
373	 4.68325058934799E-02 
374	 4.69254923481014E-02 
375	 4.68510227505257E-02 
376	 4.69799384496523E-02 
377	 4.76796930653161E-02 
378	 4.77690456685771E-02 
379	 0.047764677958744 
380	 4.81163830706461E-02 
381	 4.84580333402125E-02 
382	 4.86678317517852E-02 
383	 4.87954019993299E-02 
384	 4.89882221935413E-02 
385	 4.93347395917133E-02 
386	 4.99014413644173E-02 
387	 5.04969871178687E-02 
388	 5.06403278288192E-02 
389	 5.07417357420473E-02 
390	 5.08672292642338E-02 
391	 5.09848742096488E-02 
392	 5.09785959824419E-02 
393	 5.13602516419717E-02 
394	 5.18883678132499E-02 
395	 5.19366047984537E-02 
396	 5.23412719944775E-02 
397	 5.27579578558438E-02 
398	 5.29395288358866E-02 
399	 5.30409952057962E-02 
400	 5.31704447625903E-02 
401	 5.32419495958532E-02 
402	 5.31877801163108E-02 
403	 5.33194627071139E-02 
404	 5.35817773774749E-02 
405	 5.38723986491047E-02 
406	 5.40644930315126E-02 
407	 5.42545834579613E-02 
408	 5.44637831497966E-02 
409	 5.46727222029111E-02 
410	 0.054789200389152 
411	 5.48873487650496E-02 
412	 5.50457201963405E-02 
413	 5.53156342820216E-02 
414	 5.54849154125144E-02 
415	 5.56290710394892E-02 
416	 5.58175271300974E-02 
417	 5.60497910615591E-02 
418	 5.62760272473453E-02 
419	 5.64675336458522E-02 
420	 5.66174579265105E-02 
421	 0.056767954449151 
422	 5.70213621453641E-02 
423	 5.73268174501839E-02 
424	 0.057485573747403 
425	 5.77377575745697E-02 
426	 5.80052174888631E-02 
427	 5.82258788162036E-02 
428	 5.86351560205313E-02 
429	 5.88343554861999E-02 
430	 5.89097722392469E-02 
431	 5.91976960435079E-02 
432	 5.93670245009955E-02 
433	 5.96229898742873E-02 
434	 0.060021159158938 
435	 6.02745988645184E-02 
436	 6.05019280490902E-02 
437	 6.06637838455654E-02 
438	 6.07426449168187E-02 
439	 6.10502460581406E-02 
440	 6.13164406829554E-02 
441	 6.14683487804747E-02 
442	 0.06166161354701 
443	 6.18988509029896E-02 
444	 6.20734761900446E-02 
445	 6.21500838934928E-02 
446	 0.062380818775833 
447	 6.25792381528081E-02 
448	 6.27050542810069E-02 
449	 6.28225714770188E-02 
450	 6.30981399357058E-02 
451	 6.32958620722236E-02 
452	 6.33284958045578E-02 
453	 6.34959329012135E-02 
454	 6.37220542257406E-02 
455	 6.39076300130314E-02 
456	 6.39839337876407E-02 
457	 6.41962311775679E-02 
458	 6.43592771372011E-02 
459	 6.44281831448208E-02 
460	 6.45608346121442E-02 
461	 6.46432599427108E-02 
462	 6.47338262596992E-02 
463	 6.48864212677363E-02 
464	 6.49898955938945E-02 
465	 6.50403216678339E-02 
466	 6.50986181084888E-02 
467	 6.52611310635298E-02 
468	 6.53779356701193E-02 
469	 6.55191901106711E-02 
470	 6.57015650044105E-02 
471	 6.57239693248649E-02 
472	 6.57826793336451E-02 
473	 6.58932789610649E-02 
474	 6.59974824824262E-02 
475	 6.61056700415032E-02 
476	 0.06617132641262 
477	 6.62206678741433E-02 
478	 6.63845465797696E-02 
479	 6.64839758144428E-02 
480	 6.65762170593265E-02 
481	 6.67342784836313E-02 
482	 6.68009249705995E-02 
483	 6.69147614600317E-02 
484	 6.70947723471062E-02 
485	 6.72490533065363E-02 
486	 6.74555849368352E-02 
487	 6.76536544123767E-02 
488	 6.78065824078525E-02 
489	 6.80244484390594E-02 
490	 6.81637189732142E-02 
491	 6.82413998797285E-02 
492	 6.83536206659366E-02 
493	 6.85390749354111E-02 
494	 6.87218325967714E-02 
495	 6.88618115015064E-02 
496	 6.89916173908653E-02 
497	 0.069219947376134 
498	 6.94751642553117E-02 
499	 6.96566216546557E-02 
500	 6.98373571380401E-02 
501	 7.00225114415709E-02 
502	 7.02216010616533E-02 
503	 7.04472254437252E-02 
504	 7.06143109308426E-02 
505	 7.08200504165726E-02 
506	 7.11119207200306E-02 
507	 7.12927348867938E-02 
508	 7.14412225539243E-02 
509	 7.16309607466618E-02 
510	 7.19104730616605E-02 
511	 7.20882527603127E-02 
512	 7.22647802576478E-02 
513	 7.24791403821765E-02 
514	 7.25819820617553E-02 
515	 7.27757177399684E-02 
516	 7.30683787739239E-02 
517	 0.073385001964043 
518	 7.36829219099821E-02 
519	 7.38798101865364E-02 
520	 0.073996663307667 
521	 0.074166173157783 
522	 7.44554487467836E-02 
523	 7.47155444849611E-02 
524	 7.48490212966908E-02 
525	 7.50626847323727E-02 
526	 7.52707968810148E-02 
527	 7.54617181406779E-02 
528	 7.56749390152135E-02 
529	 7.59125694893187E-02 
530	 7.61073328881678E-02 
531	 7.62405704204955E-02 
532	 7.63910471266557E-02 
533	 7.65954148275498E-02 
534	 7.68419950768819E-02 
535	 7.70851970286391E-02 
536	 7.72376682211643E-02 
537	 7.73702648676536E-02 
538	 7.75448816037803E-02 
539	 7.77946488725338E-02 
540	 7.79841311533447E-02 
541	 0.078117925995199 
542	 7.82489291817665E-02 
543	 7.84356681428462E-02 
544	 7.86539751950169E-02 
545	 7.88650923669079E-02 
546	 7.90273355962039E-02 
547	 7.91989230008056E-02 
548	 7.93748853865049E-02 
549	 7.95475821633116E-02 
550	 7.97318592257011E-02 
551	 7.98826124568631E-02 
552	 8.00152866584011E-02 
553	 8.01656616280952E-02 
554	 8.03014181635155E-02 
555	 8.04623269227138E-02 
556	 0.080641326837929 
557	 0.08075706554853 
558	 8.09255637269988E-02 
559	 8.11439749215659E-02 
560	 8.13570566260131E-02 
561	 8.14616447225321E-02 
562	 8.16068849101376E-02 
563	 8.17935880582338E-02 
564	 8.19032205298101E-02 
565	 8.20451594101873E-02 
566	 8.21858509271736E-02 
567	 8.23045141300818E-02 
568	 8.24820404011135E-02 
569	 8.26403505485305E-02 
570	 8.28032562399158E-02 
571	 8.30191191914027E-02 
572	 8.31078518372692E-02 
573	 8.32305107178213E-02 
574	 8.34168962940548E-02 
575	 8.34560358435081E-02 
576	 8.35261325169226E-02 
577	 8.36168506806209E-02 
578	 8.36845845291888E-02 
579	 8.37919437000053E-02 
580	 8.39104905840408E-02 
581	 8.39934068654785E-02 
582	 8.39978091785281E-02 
583	 8.41787680063384E-02 
584	 8.43714978601669E-02 
585	 8.44519048452214E-02 
586	 8.45902197154067E-02 
587	 8.46875921586493E-02 
588	 8.47804429784715E-02 
589	 8.49588025608924E-02 
590	 8.51298038133733E-02 
591	 8.52265338971931E-02 
592	 8.52601955939085E-02 
593	 8.53603202086482E-02 
594	 8.54318828665941E-02 
595	 8.55161790212645E-02 
596	 8.56531284801871E-02 
597	 8.57112319364009E-02 
598	 8.57396117060273E-02 
599	 0.085803896693477 
600	 8.59665231477846E-02 
601	 0.086052089629411 
602	 8.60948698519546E-02 
603	 8.61551307091009E-02 
604	 8.62478750378177E-02 
605	 8.63625534605145E-02 
606	 8.64633596755905E-02 
607	 8.65115363492655E-02 
608	 8.65490866162675E-02 
609	 8.66076789244752E-02 
610	 8.66857075224523E-02 
611	 8.67342607827314E-02 
612	 8.68091694506518E-02 
613	 8.68969752600361E-02 
614	 8.69665286987717E-02 
615	 8.69988852038112E-02 
616	 8.70320173083794E-02 
617	 8.71062009825124E-02 
618	 8.72455540600138E-02 
619	 8.72514490687974E-02 
620	 8.72940837622332E-02 
621	 8.74600284743739E-02 
622	 0.087511767296632 
623	 8.75224971226147E-02 
624	 8.75524083100878E-02 
625	 8.76523806012955E-02 
626	 8.77918551241091E-02 
627	 0.087882229998217 
628	 8.78998421080573E-02 
629	 8.79084289174096E-02 
630	 8.80189557799735E-02 
631	 8.81238701315021E-02 
632	 0.088125991277265 
633	 8.81746445519123E-02 
634	 8.82368457915811E-02 
635	 8.83194725218708E-02 
636	 8.84428341202686E-02 
637	 8.84842737461096E-02 
638	 0.088508484565079 
639	 8.85781640218704E-02 
640	 8.87144741999851E-02 
641	 8.87281932933459E-02 
642	 8.87131354812485E-02 
643	 8.88193803510909E-02 
644	 8.88895729441636E-02 
645	 8.89606085111671E-02 
646	 8.90328065544031E-02 
647	 8.90632781128868E-02 
648	 8.90934997750725E-02 
649	 8.91884234458574E-02 
650	 8.93406563651446E-02 
651	 8.93302784175141E-02 
652	 0.089350030541193 
653	 8.93937756603596E-02 
654	 0.089378994498523 
655	 8.94040735249638E-02 
656	 8.95260833410451E-02 
657	 8.97332066212901E-02 
658	 8.98889898382142E-02 
659	 8.98640745027347E-02 
660	 8.98055764989281E-02 
661	 8.98560866023661E-02 
662	 8.99411716186454E-02 
663	 9.00075951654137E-02 
664	 9.00238458568387E-02 
665	 8.99920715562951E-02 
666	 9.00869931754452E-02 
667	 9.02072266250408E-02 
668	 9.02678962377522E-02 
669	 9.02832005495999E-02 
670	 9.03095439749474E-02 
671	 9.03300885598795E-02 
672	 9.03309136152051E-02 
673	 0.090447933759704 
674	 9.05516534706324E-02 
675	 9.05940621648669E-02 
676	 0.090619359261352 
677	 9.07626409268225E-02 
678	 0.0908591133762 
679	 9.08068895615886E-02 
680	 9.07672590664864E-02 
681	 0.090774738442074 
682	 9.08413195060341E-02 
683	 9.09589388002774E-02 
684	 9.11468090398027E-02 
685	 9.11452563516945E-02 
686	 9.09962761864727E-02 
687	 9.11096297969986E-02 
688	 9.14191542301583E-02 
689	 9.17173042488958E-02 
690	 9.18064533850346E-02 
691	 0.091786927520999 
692	 9.18235028810981E-02 
693	 9.19075100792528E-02 
694	 9.19606243811091E-02 
695	 0.09204062140029 
696	 0.092083208152046 
697	 9.21224642332556E-02 
698	 9.23232029365505E-02 
699	 9.24198323454363E-02 
700	 0.092444581314751 
701	 9.24906508528526E-02 
702	 9.26016877239024E-02 
703	 9.26893178063078E-02 
704	 9.27703642332702E-02 
705	 9.29059819923071E-02 
706	 9.29875957835152E-02 
707	 9.30237492927273E-02 
708	 0.093054501687811 
709	 9.31453432884996E-02 
710	 9.32436579736591E-02 
711	 9.33589196040932E-02 
712	 9.34954486602799E-02 
713	 9.35886007431457E-02 
714	 9.36629872514361E-02 
715	 9.37039528765711E-02 
716	 9.36912776164468E-02 
717	 9.37740306823602E-02 
718	 9.39139191550464E-02 
719	 9.40754783401112E-02 
720	 9.42624354201317E-02 
721	 9.43820475396451E-02 
722	 9.44426331727149E-02 
723	 9.44853766593582E-02 
724	 9.45045908677741E-02 
725	 9.46101013004602E-02 
726	 9.47703139961529E-02 
727	 9.48639101285402E-02 
728	 9.49118063184669E-02 
729	 9.49703539676778E-02 
730	 9.50637438291805E-02 
731	 9.51632642560999E-02 
732	 9.52721965294587E-02 
733	 9.53935066315173E-02 
734	 9.55143033017096E-02 
735	 9.55667030458083E-02 
736	 9.56407575002683E-02 
737	 9.57665691486207E-02 
738	 0.095920791103948 
739	 9.59753669032919E-02 
740	 9.60314649157977E-02 
741	 0.096127030588562 
742	 9.61835598725762E-02 
743	 9.63287960895646E-02 
744	 9.64197607171174E-02 
745	 0.096369244319179 
746	 0.096434972262996 
747	 9.65180797360153E-02 
748	 9.66115703413784E-02 
749	 9.67457547755836E-02 
750	 0.096896376930157 
751	 9.69931435103675E-02 
752	 9.70361685587886E-02 
753	 9.71105223217201E-02 
754	 9.72437271176404E-02 
755	 9.73574513830912E-02 
756	 9.73834057503595E-02 
757	 9.73362544513288E-02 
758	 9.72160938422764E-02 
759	 9.70912195008184E-02 
760	 9.71006089467158E-02 
761	 9.77627825374957E-02 
762	 9.85529624063715E-02 
763	 9.88011058878095E-02 
764	 9.91674732473875E-02 
765	 9.92544156161722E-02 
766	 9.91346636138957E-02 
767	 9.89472999412085E-02 
768	 9.88041590189438E-02 
769	 9.87633190211848E-02 
770	 9.87481376995351E-02 
771	 9.87016519020839E-02 
772	 0.098752276353546 
773	 9.89057073608208E-02 
774	 9.90361516431478E-02 
775	 9.89772054052066E-02 
776	 9.90176813939735E-02 
777	 0.099178159565649 
778	 9.93563609548458E-02 
779	 9.93359333422716E-02 
780	 9.93816111672658E-02 
781	 9.95179325756065E-02 
782	 9.96760462958602E-02 
783	 9.97039687614256E-02 
784	 9.97502733114811E-02 
785	 9.98154061141749E-02 
786	 0.09985090925993 
787	 0.099967172099077 
788	 0.100022431515378 
789	 0.100036376503201 
790	 0.100183817755188 
791	 0.100285462580585 
792	 0.10036317054289 
793	 0.100454747395893 
794	 0.100562582201735 
795	 0.100612030107425 
796	 0.10066986919229 
797	 0.100777049831054 
798	 0.100703590320851 
799	 0.100686440110467 
800	 0.100811331722592 
801	 0.101026937642856 
802	 0.101047867712051 
803	 0.101062462008789 
804	 0.101149131530497 
805	 0.10120891736108 
806	 0.101283957491717 
807	 0.101333886390967 
808	 0.101346140577003 
809	 0.101394640330697 
810	 0.101458802288146 
811	 0.101479140868596 
812	 0.101425886753886 
813	 0.101449252433969 
814	 0.101452626033879 
815	 0.101496529067273 
816	 0.101704542531405 
817	 0.101753827671231 
818	 0.101765284320308 
819	 0.101760765566878 
820	 0.101613108699111 
821	 0.101702317314895 
822	 0.101868386639235 
823	 0.101990151535385 
824	 0.102245363889256 
825	 0.102094007476711 
826	 0.101873512591439 
827	 0.101978058559397 
828	 0.102092400678553 
829	 0.101976375141855 
830	 0.101890252391534 
831	 0.102226764385303 
832	 0.102277539955272 
833	 0.10224749669566 
834	 0.102235987566143 
835	 0.102188077680898 
836	 0.102261142130073 
837	 0.102304325644373 
838	 0.102257399037919 
839	 0.102269893613846 
840	 0.102360979901901 
841	 0.102397417259994 
842	 0.102316851248276 
843	 0.102355654253408 
844	 0.102527035762413 
845	 0.102645652711573 
846	 0.102531150949904 
847	 0.102418078025243 
848	 0.10243505759684 
849	 0.102529426008404 
850	 0.102544846033241 
851	 0.102603619466006 
852	 0.10261979813369 
853	 0.102584029966492 
854	 0.102591445644244 
855	 0.102584918517033 
856	 0.102649812744969 
857	 0.102751933015638 
858	 0.102631614480433 
859	 0.10259674533811 
860	 0.102640018326527 
861	 0.102707495791975 
862	 0.102879013895914 
863	 0.102765396553324 
864	 0.10262614821127 
865	 0.102825866198291 
866	 0.10293216115726 
867	 0.102954035159746 
868	 0.102926120129121 
869	 0.102883856267123 
870	 0.102728398705951 
871	 0.102746130428994 
872	 0.102911088211957 
873	 0.102916859938327 
874	 0.102905800564942 
875	 0.102911942005479 
876	 0.102915091567133 
877	 0.10284722082763 
878	 0.102995766231079 
879	 0.10307453974396 
880	 0.102890251225773 
881	 0.102683100736444 
882	 0.102838865028523 
883	 0.102973712034347 
884	 0.102804366265357 
885	 0.103158232417916 
886	 0.103061928436313 
887	 0.102784755124352 
888	 0.102898412489821 
889	 0.102878004685128 
890	 0.102963924484297 
891	 0.103054101155041 
892	 0.10292227438678 
893	 0.102925456510869 
894	 0.103025072148211 
895	 0.103052099268292 
896	 0.102830775186785 
897	 0.103038495978327 
898	 0.103159921558225 
899	 0.103095381903916 
900	 0.103403017407833 
901	 0.103482210866016 
902	 0.103346680459541 
903	 0.103271119643002 
904	 0.103659484262988 
905	 0.103287475431267 
906	 0.103060841404661 
907	 0.103483865707186 
908	 0.103396511703912 
909	 0.10339783710877 
910	 0.103528449501857 
911	 0.10361924188835 
912	 0.1033625413811 
913	 0.103134883869092 
914	 0.103231871214053 
915	 0.103665953327787 
916	 0.103647290569254 
917	 0.103940776647245 
918	 0.104197633510088 
919	 0.103918570041102 
920	 0.103963865755136 
921	 0.103974789811326 
922	 0.103910774752123 
923	 0.103921270266858 
924	 0.104208333332461 
925	 0.104158170571093 
926	 0.103828523934881 
927	 0.103758065299147 
928	 0.104106871258857 
929	 0.103984391711256 
930	 0.103656482417598 
931	 0.104433508082519 
932	 0.104334767560198 
933	 0.104198446386039 
934	 0.104430531111552 
935	 0.104317201013746 
936	 0.104349761894964 
937	 0.104313448620914 
938	 0.1042005808131 
939	 0.104285776971076 
940	 0.104393730398483 
941	 0.104511725600679 
942	 0.104557166936464 
943	 0.10442185021618 
944	 0.105525983142552 
945	 0.105622313785155 
946	 0.10421229964928 
947	 0.10424952417457 
948	 0.104621823321788 
949	 0.104795115715867 
950	 0.104788237000965 
951	 0.105244205080517 
952	 0.105084976267933 
953	 0.105006921606737 
954	 0.105545774621525 
955	 0.106342960979331 
956	 0.105912986547573 
957	 0.105406844030754 
958	 0.105627682234916 
959	 0.105724773314812 
960	 0.106045062334367 
961	 0.105812497514819 
962	 0.105008444890302 
963	 0.105217608257692 
964	 0.106528754270061 
965	 0.106627921676351 
966	 0.105197155240603 
967	 0.10618061630392 
968	 0.106642140042589 
969	 0.106823539427712 
970	 0.107058276665547 
971	 0.10652870182762 
