
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240521\sky_irrad\irrad_sky__00073.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/21/2024 at 11:33:07
VNIR integration time : 136
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 2.5
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2070
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Tue May 21 11:27:15 2024
DCC value was 0
Data is not compared to a white reference
There was a remote cosine receptor attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	rad_sky-00073.asd
350	 0.219269418855826 
351	 0.215215995270273 
352	 0.213627983394367 
353	 0.220254134692977 
354	 0.229124156320284 
355	 0.232602668821376 
356	 0.241569380432439 
357	 0.244830849308798 
358	 0.24476563358066 
359	 0.25526314201505 
360	 0.263473886245869 
361	 0.267522108444222 
362	 0.2708359375566 
363	 0.283679771699836 
364	 0.295584335141166 
365	 0.304397195769174 
366	 0.312253315703107 
367	 0.318165767913694 
368	 0.324841479533152 
369	 0.332406414810529 
370	 0.337197820786649 
371	 0.338112028347683 
372	 0.338627871330409 
373	 0.341606785996164 
374	 0.343091656960495 
375	 0.344372770962462 
376	 0.346331812581532 
377	 0.349274077541635 
378	 0.350912223690004 
379	 0.351623041971764 
380	 0.3518850593295 
381	 0.351674512792544 
382	 0.349100135386891 
383	 0.344696080725123 
384	 0.340230169070412 
385	 0.337206343882715 
386	 0.339825022802078 
387	 0.347834062367269 
388	 0.355569342472946 
389	 0.363649431855183 
390	 0.371164550335681 
391	 0.377212129085477 
392	 0.381865463777259 
393	 0.385458424118888 
394	 0.390564186275641 
395	 0.400960323166096 
396	 0.416621217704873 
397	 0.436789517604764 
398	 0.460947409870457 
399	 0.490172438658883 
400	 0.520733976439655 
401	 0.548369420181105 
402	 0.569302808452287 
403	 0.58716546056755 
404	 0.599431006833122 
405	 0.605780026286866 
406	 0.608722449908554 
407	 0.611055108256015 
408	 0.614993471135281 
409	 0.621292464198359 
410	 0.627832451293888 
411	 0.633336976303045 
412	 0.639465422565322 
413	 0.648713263304402 
414	 0.654505974339915 
415	 0.656877827571869 
416	 0.657776422406182 
417	 0.660829620009454 
418	 0.662673888467419 
419	 0.662786466929093 
420	 0.661818481824017 
421	 0.661256731474029 
422	 0.660364841563692 
423	 0.658982264007362 
424	 0.657469421246082 
425	 0.651865336162902 
426	 0.643972615944587 
427	 0.636152458009388 
428	 0.628463983952591 
429	 0.624816773756521 
430	 0.625069631066009 
431	 0.627416265210312 
432	 0.636813042119169 
433	 0.652008476239846 
434	 0.670507492235802 
435	 0.689542310944041 
436	 0.705072373788467 
437	 0.716888216867093 
438	 0.726617034727331 
439	 0.735843968649447 
440	 0.7455323090654 
441	 0.7568385517515 
442	 0.771106760519614 
443	 0.78434482044999 
444	 0.797555442608075 
445	 0.811454655617556 
446	 0.821713346602161 
447	 0.831615659812569 
448	 0.843051357363724 
449	 0.856468351554557 
450	 0.867820810475899 
451	 0.875699598950222 
452	 0.880093224515294 
453	 0.882441461170143 
454	 0.882703270191025 
455	 0.882710956419738 
456	 0.884805083321035 
457	 0.890056749876497 
458	 0.896429614994778 
459	 0.902455247229236 
460	 0.907686374965255 
461	 0.909880592317999 
462	 0.911019356177042 
463	 0.912935105418689 
464	 0.913159253936611 
465	 0.910247986550795 
466	 0.905309412916153 
467	 0.901322015912689 
468	 0.898838504107657 
469	 0.89849962685026 
470	 0.900355691910778 
471	 0.903521867187152 
472	 0.907323452171454 
473	 0.911719362064415 
474	 0.916789918011831 
475	 0.921159576215413 
476	 0.92448496029185 
477	 0.927304180929265 
478	 0.931169545984529 
479	 0.936205009104206 
480	 0.941093369092134 
481	 0.943663775570122 
482	 0.941059675478602 
483	 0.932022928838109 
484	 0.916819439833085 
485	 0.897481820472581 
486	 0.880072681473449 
487	 0.868446599711316 
488	 0.865723029609428 
489	 0.875802886631555 
490	 0.890519562071584 
491	 0.902967517088564 
492	 0.90812056582259 
493	 0.909834697506693 
494	 0.911813094454914 
495	 0.915805244341694 
496	 0.920885060950588 
497	 0.920978458523839 
498	 0.915938514616422 
499	 0.907902513814336 
500	 0.898267278216683 
501	 0.890161359963934 
502	 0.885220225412756 
503	 0.883717466222535 
504	 0.88803714905965 
505	 0.894767699725802 
506	 0.900225533602389 
507	 0.90369582952419 
508	 0.905134757440682 
509	 0.904709508869646 
510	 0.902933548026977 
511	 0.901777756915227 
512	 0.898956031570863 
513	 0.892654661977582 
514	 0.882885598118527 
515	 0.868504642270932 
516	 0.851368767188186 
517	 0.835290447062335 
518	 0.825226385783094 
519	 0.826258198503497 
520	 0.838574586306187 
521	 0.857071642669332 
522	 0.871727433866453 
523	 0.881056344866289 
524	 0.885520419065576 
525	 0.882920245386738 
526	 0.877874009679034 
527	 0.873112346149402 
528	 0.870727080289403 
529	 0.880391190886686 
530	 0.895134082476244 
531	 0.905790138365153 
532	 0.902927305728658 
533	 0.897691256327501 
534	 0.894750447319302 
535	 0.895822646763476 
536	 0.900878668348214 
537	 0.90278054495757 
538	 0.898499043537791 
539	 0.890550561909987 
540	 0.883120317854036 
541	 0.877902715966893 
542	 0.87615194317986 
543	 0.881345065008536 
544	 0.887644632232518 
545	 0.891795681738408 
546	 0.8929033883787 
547	 0.891709186457576 
548	 0.890142836397796 
549	 0.889706198667529 
550	 0.890753970640618 
551	 0.89189139722004 
552	 0.892365331636472 
553	 0.892066914354386 
554	 0.893077855032838 
555	 0.893464453726274 
556	 0.891057690637972 
557	 0.883848800579662 
558	 0.873852239451218 
559	 0.865407686557957 
560	 0.862407039769675 
561	 0.864628303300881 
562	 0.869074520723985 
563	 0.872694918396282 
564	 0.872754716235529 
565	 0.870450534247625 
566	 0.867333857056889 
567	 0.864822147267028 
568	 0.864216605022353 
569	 0.861518324186078 
570	 0.856419749999127 
571	 0.851252768877767 
572	 0.851813232386239 
573	 0.856232703146575 
574	 0.861020156954634 
575	 0.861816673281919 
576	 0.859076611971189 
577	 0.856105722686997 
578	 0.856032981365804 
579	 0.856942392703496 
580	 0.85993895519524 
581	 0.865857368875468 
582	 0.874905167196933 
583	 0.881730396876119 
584	 0.884103628448652 
585	 0.881339738227387 
586	 0.874200098741421 
587	 0.866714801407583 
588	 0.855539156736396 
589	 0.835662203930881 
590	 0.818651023965167 
591	 0.818047901485901 
592	 0.833468865055468 
593	 0.844165840493849 
594	 0.847068761613288 
595	 0.845720387422816 
596	 0.845696720458122 
597	 0.847571772689443 
598	 0.847858639280335 
599	 0.845678981802994 
600	 0.842681487471493 
601	 0.839218463683275 
602	 0.836789373794597 
603	 0.837206689093906 
604	 0.843565643090183 
605	 0.848529286783302 
606	 0.849524773990159 
607	 0.846931908368256 
608	 0.843300973727332 
609	 0.838800768630342 
610	 0.83416088957498 
611	 0.831252174784946 
612	 0.829542382076826 
613	 0.82705567481616 
614	 0.822426560514196 
615	 0.818433457830118 
616	 0.813798012946783 
617	 0.810367344830332 
618	 0.812390993411588 
619	 0.820356809431929 
620	 0.827913044263344 
621	 0.830072949915075 
622	 0.827394095282038 
623	 0.821510595702048 
624	 0.814209477381929 
625	 0.807513792741291 
626	 0.803967748606037 
627	 0.802087804140945 
