
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240523\reflec_3\DN_gravel__00125.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/23/2024 at 17:17:01
VNIR integration time : 68
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 65535
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2074
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Thu May 23 17:12:29 2024
DCC value was 0
Data is not compared to a white reference
There was no foreoptic attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	reflec_penels3-00125.asd
399	 64.4098140300109 
400	 68.556614490867 
401	 71.593964399302 
402	 74.6810532501367 
403	 80.9305338756381 
404	 85.1807533708445 
405	 86.4032640238839 
406	 88.7504127619451 
407	 92.9628397364012 
408	 96.9377760146281 
409	 99.3525927618699 
410	 104.031521889972 
411	 107.461515626534 
412	 110.256966601092 
413	 115.425944276787 
414	 121.658439311618 
415	 126.961922211628 
416	 130.904624773902 
417	 136.121180400766 
418	 141.367236982635 
419	 146.221818613062 
420	 150.743494531673 
421	 156.256760445785 
422	 161.212096689083 
423	 165.182616380334 
424	 169.154599935938 
425	 174.287870302694 
426	 177.528657910457 
427	 177.981735243688 
428	 184.782245046219 
429	 189.998156409928 
430	 193.979791585656 
431	 201.715319126318 
432	 207.622908252943 
433	 215.92470111043 
434	 228.151953837993 
435	 238.484245853569 
436	 248.184656455022 
437	 258.273166703249 
438	 269.142612684958 
439	 277.218245174253 
440	 284.682715005046 
441	 292.855212192228 
442	 301.666909360547 
443	 312.839291259644 
444	 323.525073348039 
445	 331.461943524281 
446	 339.759239410414 
447	 348.983501209563 
448	 358.046808021349 
449	 365.088637517955 
450	 373.585099522707 
451	 381.778783128751 
452	 387.54082978445 
453	 389.11456188459 
454	 391.524447740821 
455	 394.277587016332 
456	 395.333058233646 
457	 397.455351763578 
458	 401.861145438025 
459	 406.63756747954 
460	 406.352085554399 
461	 404.195695975744 
462	 402.874315280866 
463	 403.613420633473 
464	 403.099895925953 
465	 400.049533844706 
466	 395.723882456158 
467	 393.191865351242 
468	 392.362066401233 
469	 391.298998035489 
470	 389.519961095413 
471	 390.986504592097 
472	 389.622297085815 
473	 387.854630296008 
474	 390.409169155634 
475	 390.495177601689 
476	 389.698128291902 
477	 389.343655016713 
478	 389.364535757473 
479	 391.806662921772 
480	 393.548469874514 
481	 391.163133849644 
482	 386.184256155188 
483	 380.654484695991 
484	 374.824295234325 
485	 367.644697453747 
486	 363.755226589671 
487	 360.867903146145 
488	 358.104019433952 
489	 361.541144905591 
490	 368.826206588059 
491	 376.262892721638 
492	 380.090051616164 
493	 383.467736562815 
494	 386.565366433348 
495	 390.57203727156 
496	 399.007725218094 
497	 403.796993405044 
498	 406.292734604735 
499	 410.394959804174 
500	 415.981171037917 
501	 422.292172106112 
502	 430.752300832955 
503	 444.640977230708 
504	 457.514426267835 
505	 473.275266798121 
506	 494.290165017653 
507	 511.839791791709 
508	 532.895773044331 
509	 556.853621643636 
510	 579.391012763979 
511	 605.788284597473 
512	 634.226880220966 
513	 662.144168013465 
514	 687.140825324854 
515	 711.239954929977 
516	 737.486695443931 
517	 769.207194701963 
518	 807.474145505865 
519	 855.735221291315 
520	 915.413623729807 
521	 985.435960413475 
522	 1057.54425956348 
523	 1124.42255746783 
524	 1182.12369135665 
525	 1234.40634775772 
526	 1286.82954713173 
527	 1341.22619288509 
528	 1397.46135252583 
529	 1466.07281583702 
530	 1540.65294701156 
531	 1609.78175156265 
532	 1655.85458327344 
533	 1697.69813712324 
534	 1739.77182277962 
535	 1781.86971014793 
536	 1832.52053457489 
537	 1875.00389279297 
538	 1901.77213686737 
539	 1919.16850558941 
540	 1938.46325228728 
541	 1960.85488391458 
542	 1986.69102093923 
543	 2026.42795681615 
544	 2068.38788525703 
545	 2106.19198638766 
546	 2138.34498642553 
547	 2165.74361225797 
548	 2190.88558005775 
549	 2216.50326458455 
550	 2245.48364033692 
551	 2275.32134554215 
552	 2301.12454608079 
553	 2318.6525980182 
554	 2337.76935273334 
555	 2350.75936669026 
556	 2350.21087793461 
557	 2331.1604456207 
558	 2305.99409550294 
559	 2282.39389123718 
560	 2265.80853679239 
561	 2260.23850124209 
562	 2256.41601722666 
563	 2245.15913239875 
564	 2218.7070069984 
565	 2184.39650701578 
566	 2142.33476409007 
567	 2093.35254123067 
568	 2043.16658538166 
569	 1989.25589442473 
570	 1933.33247104323 
571	 1880.41374449101 
572	 1842.10933167675 
573	 1817.44082177456 
574	 1799.66023155266 
575	 1776.02169624575 
576	 1748.94746495542 
577	 1724.11471647904 
578	 1706.94800117176 
579	 1694.67062645978 
580	 1690.75554246939 
581	 1694.6710422776 
582	 1701.73798482145 
583	 1703.75837923071 
584	 1694.11153917086 
585	 1670.9433971635 
586	 1642.50356840571 
587	 1603.44869979573 
588	 1549.70663793403 
589	 1482.40434908412 
590	 1430.46827609963 
591	 1411.24638560936 
592	 1419.74862886185 
593	 1421.60617790526 
594	 1411.94831386777 
595	 1397.12595564243 
596	 1386.65833626246 
597	 1381.08172038226 
598	 1374.11645511077 
599	 1363.12661092274 
600	 1349.20410917264 
601	 1334.4670092767 
602	 1323.02827706633 
603	 1317.03286145079 
604	 1314.41062288745 
605	 1306.96490772683 
606	 1292.36718833662 
607	 1272.14830005623 
608	 1250.31647983586 
609	 1226.40605916108 
610	 1201.56281435507 
611	 1179.8854645907 
612	 1158.64917492248 
613	 1135.60560314557 
614	 1110.05152628102 
615	 1086.55662832634 
616	 1063.6429207731 
617	 1043.15802399446 
618	 1029.5165779373 
619	 1024.04997396641 
620	 1018.21227150249 
621	 1005.86302320438 
622	 989.673478554489 
