ENLIGHTEN Version,2.1.14
Measurement ID,20200528-135723-541620-WP-00413,20200528-135733-845197-WP-00413
Serial Number,WP-00413,WP-00413
Model,WP-785-C-ER2-S,WP-785-C-ER2-S
942.82,825.00,833.00
943.09,852.00,837.00
943.37,827.00,810.00
943.64,799.00,793.00
943.92,799.00,801.00
944.19,837.00,818.00
944.47,858.00,841.00
944.74,854.00,837.00
945.01,820.00,816.00
945.29,812.00,825.00
945.56,810.00,808.00
945.84,825.00,812.00
946.11,823.00,823.00
946.38,837.00,841.00
946.66,848.00,823.00
946.93,844.00,842.00
947.21,831.00,829.00
947.48,829.00,810.00
947.75,829.00,814.00
948.03,841.00,831.00
948.30,839.00,875.00
948.57,858.00,852.00
948.85,833.00,842.00
949.12,795.00,804.00
949.40,795.00,803.00
949.67,814.00,816.00
949.94,825.00,825.00
950.22,848.00,860.00
950.49,871.00,875.00
950.76,886.00,860.00
951.03,844.00,842.00
951.31,816.00,827.00
951.58,803.00,793.00
951.85,799.00,803.00
952.13,804.00,820.00
952.40,827.00,827.00
952.67,837.00,837.00
952.95,856.00,852.00
953.22,833.00,841.00
953.49,825.00,841.00
953.76,833.00,835.00
954.04,818.00,827.00
954.31,808.00,823.00
954.58,831.00,823.00
954.85,812.00,816.00
955.13,818.00,816.00
955.40,810.00,812.00
955.67,827.00,825.00
955.94,827.00,814.00
956.22,803.00,812.00
956.49,808.00,827.00
956.76,842.00,839.00
957.03,841.00,877.00
957.30,848.00,850.00
957.58,841.00,850.00
957.85,833.00,835.00
958.12,823.00,831.00
958.39,816.00,818.00
958.66,803.00,812.00
958.93,806.00,814.00
959.21,816.00,823.00
959.48,827.00,831.00
959.75,841.00,844.00
960.02,831.00,848.00
960.29,831.00,833.00
960.56,835.00,844.00
960.83,850.00,844.00
961.11,846.00,860.00
961.38,852.00,841.00
961.65,825.00,844.00
961.92,829.00,831.00
962.19,825.00,833.00
962.46,844.00,848.00
962.73,850.00,860.00
963.00,848.00,858.00
963.27,848.00,850.00
963.54,831.00,835.00
963.81,829.00,837.00
964.08,841.00,839.00
964.36,844.00,837.00
964.63,839.00,863.00
964.90,858.00,860.00
965.17,848.00,858.00
965.44,842.00,842.00
965.71,816.00,842.00
965.98,844.00,839.00
966.25,854.00,850.00
966.52,852.00,856.00
966.79,863.00,863.00
967.06,877.00,875.00
967.33,873.00,879.00
967.60,877.00,879.00
967.87,861.00,879.00
968.14,869.00,871.00
968.41,875.00,879.00
968.68,865.00,880.00
968.95,879.00,873.00
969.21,884.00,873.00
969.48,865.00,884.00
969.75,867.00,865.00
970.02,877.00,871.00
970.29,884.00,896.00
970.56,882.00,880.00
970.83,860.00,886.00
971.10,877.00,877.00
971.37,867.00,869.00
971.64,871.00,884.00
971.91,861.00,852.00
972.17,875.00,856.00
972.44,856.00,867.00
972.71,865.00,867.00
972.98,858.00,856.00
973.25,835.00,844.00
973.52,833.00,852.00
973.79,850.00,850.00
974.05,844.00,842.00
974.32,848.00,856.00
974.59,863.00,865.00
974.86,831.00,856.00
975.13,831.00,831.00
975.40,842.00,844.00
975.66,841.00,854.00
975.93,846.00,852.00
976.20,842.00,841.00
976.47,848.00,877.00
976.73,842.00,860.00
977.00,861.00,879.00
977.27,846.00,852.00
977.54,837.00,863.00
977.81,852.00,850.00
978.07,839.00,856.00
978.34,850.00,848.00
978.61,842.00,865.00
978.87,835.00,850.00
979.14,846.00,842.00
979.41,856.00,852.00
979.68,839.00,852.00
979.94,844.00,846.00
980.21,852.00,860.00
980.48,854.00,875.00
980.74,860.00,858.00
981.01,841.00,852.00
981.28,861.00,854.00
981.54,861.00,858.00
981.81,852.00,867.00
982.08,842.00,867.00
982.34,846.00,863.00
982.61,863.00,865.00
982.87,848.00,867.00
983.14,846.00,871.00
983.41,867.00,858.00
983.67,854.00,854.00
983.94,842.00,873.00
984.20,852.00,848.00
984.47,863.00,856.00
984.74,856.00,861.00
985.00,841.00,867.00
985.27,844.00,856.00
985.53,854.00,856.00
985.80,846.00,852.00
986.06,844.00,867.00
986.33,850.00,867.00
986.59,856.00,854.00
986.86,844.00,854.00
987.12,837.00,856.00
987.39,858.00,867.00
987.65,846.00,852.00
987.92,841.00,860.00
988.18,854.00,848.00
988.45,844.00,842.00
988.71,846.00,860.00
988.98,842.00,850.00
989.24,835.00,856.00
989.51,839.00,854.00
989.77,854.00,848.00
990.04,854.00,844.00
990.30,856.00,850.00
990.56,844.00,852.00
990.83,848.00,854.00
991.09,842.00,848.00
991.36,848.00,850.00
991.62,837.00,850.00
991.88,846.00,841.00
992.15,839.00,846.00
992.41,829.00,854.00
992.68,835.00,846.00
992.94,839.00,825.00
993.20,839.00,852.00
993.47,827.00,848.00
993.73,829.00,841.00
993.99,833.00,841.00
994.26,846.00,844.00
994.52,833.00,850.00
994.78,850.00,848.00
995.05,827.00,844.00
995.31,837.00,831.00
995.57,827.00,839.00
995.83,833.00,850.00
996.10,841.00,841.00
996.36,837.00,841.00
996.62,835.00,842.00
996.88,816.00,837.00
997.15,827.00,837.00
997.41,827.00,837.00
997.67,835.00,823.00
997.93,818.00,833.00
998.19,820.00,825.00
998.46,825.00,835.00
998.72,833.00,822.00
998.98,827.00,823.00
999.24,822.00,835.00
999.50,833.00,823.00
999.77,820.00,818.00
1000.03,820.00,841.00
1000.29,827.00,827.00
1000.55,823.00,823.00
1000.81,835.00,816.00
1001.07,823.00,820.00
1001.33,820.00,816.00
1001.59,822.00,822.00
1001.86,812.00,810.00
1002.12,818.00,831.00
1002.38,816.00,825.00
1002.64,810.00,820.00
1002.90,814.00,812.00
1003.16,814.00,810.00
1003.42,818.00,810.00
1003.68,823.00,801.00
1003.94,810.00,816.00
1004.20,820.00,818.00
1004.46,808.00,799.00
1004.72,812.00,795.00
1004.98,801.00,803.00
1005.24,816.00,804.00
1005.50,806.00,801.00
1005.76,810.00,812.00
1006.02,803.00,801.00
1006.28,804.00,810.00
1006.54,804.00,801.00
1006.80,803.00,808.00
1007.06,801.00,825.00
1007.32,804.00,801.00
1007.58,812.00,799.00
1007.84,799.00,797.00
1008.09,808.00,808.00
1008.35,803.00,795.00
1008.61,804.00,799.00
1008.87,799.00,810.00
1009.13,804.00,799.00
1009.39,810.00,784.00
1009.65,801.00,806.00
1009.91,793.00,806.00
1010.16,806.00,791.00
1010.42,801.00,801.00
1010.68,795.00,803.00
1010.94,782.00,795.00
1011.20,787.00,791.00
1011.46,806.00,797.00
1011.71,795.00,784.00
1011.97,789.00,789.00
1012.23,789.00,799.00
1012.49,801.00,789.00
1012.74,795.00,797.00
1013.00,799.00,786.00
1013.26,795.00,804.00
1013.52,814.00,786.00
1013.77,803.00,797.00
1014.03,808.00,797.00
1014.29,784.00,789.00
1014.54,793.00,786.00
1014.80,782.00,786.00
1015.06,784.00,778.00
1015.31,780.00,786.00
1015.57,791.00,780.00
1015.83,787.00,789.00
1016.08,774.00,782.00
1016.34,789.00,776.00
1016.60,784.00,787.00
1016.85,786.00,786.00
1017.11,780.00,782.00
1017.37,782.00,778.00
1017.62,772.00,780.00
1017.88,787.00,776.00
1018.13,770.00,784.00
1018.39,776.00,770.00
1018.64,772.00,772.00
1018.90,784.00,763.00
1019.15,778.00,778.00
1019.41,774.00,768.00
1019.67,763.00,768.00
1019.92,778.00,761.00
1020.18,772.00,774.00
1020.43,768.00,770.00
1020.69,757.00,767.00
1020.94,767.00,759.00
1021.19,778.00,767.00
1021.45,770.00,768.00
1021.70,751.00,768.00
1021.96,774.00,765.00
1022.21,782.00,770.00
1022.47,772.00,770.00
1022.72,768.00,765.00
1022.98,759.00,761.00
1023.23,768.00,767.00
1023.48,763.00,757.00
1023.74,770.00,770.00
1023.99,768.00,755.00
1024.24,761.00,757.00
1024.50,755.00,767.00
1024.75,759.00,761.00
1025.00,757.00,763.00
1025.26,770.00,748.00
1025.51,770.00,748.00
1025.76,746.00,757.00
1026.02,753.00,763.00
1026.27,749.00,753.00
1026.52,761.00,767.00
1026.78,755.00,761.00
1027.03,763.00,755.00
1027.28,746.00,748.00
1027.53,746.00,740.00
1027.79,751.00,759.00
1028.04,751.00,748.00
1028.29,757.00,751.00
1028.54,759.00,753.00
1028.79,753.00,753.00
1029.05,742.00,742.00
1029.30,755.00,753.00
1029.55,746.00,753.00
1029.80,755.00,746.00
1030.05,742.00,749.00
1030.30,751.00,759.00
1030.55,748.00,751.00
1030.81,755.00,746.00
1031.06,759.00,730.00
1031.31,748.00,748.00
1031.56,746.00,742.00
1031.81,746.00,751.00
1032.06,742.00,738.00
1032.31,742.00,748.00
1032.56,738.00,742.00
1032.81,744.00,740.00
1033.06,736.00,742.00
1033.31,730.00,744.00
1033.56,746.00,732.00
1033.81,738.00,734.00
1034.06,734.00,738.00
1034.31,736.00,729.00
1034.56,723.00,732.00
1034.81,748.00,715.00
1035.06,736.00,736.00
1035.31,727.00,744.00
1035.56,753.00,732.00
1035.81,729.00,732.00
1036.06,732.00,729.00
1036.31,732.00,729.00
1036.56,742.00,729.00
1036.81,730.00,730.00
1037.05,736.00,727.00
1037.30,729.00,727.00
1037.55,730.00,719.00
1037.80,732.00,729.00
1038.05,734.00,730.00
1038.30,734.00,719.00
1038.54,730.00,734.00
1038.79,727.00,729.00
1039.04,734.00,715.00
1039.29,727.00,721.00
1039.54,729.00,721.00
1039.78,721.00,729.00
1040.03,715.00,711.00
1040.28,719.00,723.00
1040.53,721.00,721.00
1040.77,729.00,711.00
1041.02,719.00,710.00
1041.27,721.00,727.00
1041.52,719.00,710.00
1041.76,727.00,729.00
1042.01,725.00,708.00
1042.26,723.00,715.00
1042.50,721.00,710.00
1042.75,713.00,715.00
1042.99,717.00,725.00
1043.24,729.00,723.00
1043.49,725.00,715.00
1043.73,734.00,713.00
1043.98,708.00,713.00
1044.23,711.00,706.00
1044.47,713.00,717.00
1044.72,715.00,719.00
1044.96,723.00,715.00
1045.21,717.00,708.00
1045.45,713.00,711.00
1045.70,708.00,710.00
1045.94,710.00,715.00
1046.19,711.00,710.00
1046.43,719.00,721.00
1046.68,696.00,698.00
1046.92,713.00,702.00
1047.17,706.00,708.00
1047.41,708.00,713.00
1047.66,715.00,694.00
1047.90,711.00,710.00
1048.14,713.00,700.00
1048.39,704.00,706.00
1048.63,696.00,702.00
1048.88,715.00,700.00
1049.12,713.00,717.00
1049.36,702.00,702.00
1049.61,706.00,696.00
1049.85,698.00,706.00
1050.09,700.00,708.00
1050.34,694.00,702.00
1050.58,700.00,702.00
1050.82,696.00,696.00
1051.07,702.00,706.00
1051.31,700.00,692.00
1051.55,704.00,700.00
1051.79,692.00,702.00
1052.04,696.00,708.00
1052.28,692.00,700.00
1052.52,702.00,698.00
1052.76,694.00,691.00
1053.01,704.00,711.00
1053.25,691.00,689.00
1053.49,687.00,696.00
1053.73,700.00,700.00
1053.97,708.00,696.00
1054.21,715.00,692.00
1054.46,689.00,691.00
1054.70,696.00,704.00
1054.94,694.00,694.00
1055.18,698.00,689.00
1055.42,694.00,683.00
1055.66,710.00,696.00
1055.90,694.00,692.00
1056.14,694.00,691.00
1056.38,687.00,694.00
1056.62,696.00,687.00
1056.86,698.00,681.00
1057.10,681.00,687.00
1057.34,694.00,694.00
1057.58,696.00,698.00
1057.82,689.00,677.00
1058.06,691.00,687.00
1058.30,687.00,687.00
1058.54,681.00,696.00
1058.78,692.00,681.00
1059.02,679.00,696.00
1059.26,681.00,687.00
1059.50,696.00,692.00
1059.74,694.00,685.00
1059.98,687.00,685.00
1060.22,694.00,689.00
1060.46,689.00,679.00
1060.69,687.00,673.00
1060.93,691.00,679.00
1061.17,694.00,694.00
1061.41,691.00,681.00
1061.65,685.00,679.00
1061.88,691.00,679.00
1062.12,681.00,687.00
1062.36,685.00,672.00
1062.60,683.00,681.00
1062.84,687.00,681.00
1063.07,692.00,681.00
1063.31,687.00,679.00
1063.55,681.00,685.00
1063.78,698.00,681.00
1064.02,679.00,691.00
