ENLIGHTEN Version,2.1.14
Measurement ID,20200528-135723-541620-WP-00413,20200528-135733-845197-WP-00413
Serial Number,WP-00413,WP-00413
Model,WP-785-C-ER2-S,WP-785-C-ER2-S
1064.26,691.00,681.00
1064.49,683.00,692.00
1064.73,685.00,679.00
1064.97,672.00,681.00
1065.20,681.00,677.00
1065.44,691.00,675.00
1065.68,679.00,673.00
1065.91,679.00,683.00
1066.15,672.00,668.00
1066.38,673.00,675.00
1066.62,675.00,681.00
1066.86,681.00,673.00
1067.09,679.00,691.00
1067.33,689.00,668.00
1067.56,672.00,679.00
1067.80,679.00,672.00
