ENLIGHTEN Version,2.1.14
Measurement ID,20200528-135733-845197-WP-00413
Serial Number,WP-00413
Model,WP-785-C-ER2-S
Label,13:57:33 WP-00413
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,10
ROI Pixel End,950
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Integration Time,8
Timestamp,2020-05-28 13:57:33.845197
Note,
965.71,842.00
965.98,839.00
966.25,850.00
966.52,856.00
966.79,863.00
967.06,875.00
967.33,879.00
967.60,879.00
967.87,879.00
968.14,871.00
968.41,879.00
968.68,880.00
968.95,873.00
969.21,873.00
969.48,884.00
969.75,865.00
970.02,871.00
970.29,896.00
970.56,880.00
970.83,886.00
971.10,877.00
971.37,869.00
971.64,884.00
971.91,852.00
972.17,856.00
972.44,867.00
972.71,867.00
972.98,856.00
973.25,844.00
973.52,852.00
973.79,850.00
974.05,842.00
974.32,856.00
974.59,865.00
974.86,856.00
975.13,831.00
975.40,844.00
975.66,854.00
975.93,852.00
976.20,841.00
976.47,877.00
976.73,860.00
977.00,879.00
977.27,852.00
977.54,863.00
977.81,850.00
978.07,856.00
978.34,848.00
978.61,865.00
978.87,850.00
979.14,842.00
979.41,852.00
979.68,852.00
979.94,846.00
980.21,860.00
980.48,875.00
980.74,858.00
981.01,852.00
981.28,854.00
981.54,858.00
981.81,867.00
982.08,867.00
982.34,863.00
982.61,865.00
982.87,867.00
983.14,871.00
983.41,858.00
983.67,854.00
983.94,873.00
984.20,848.00
984.47,856.00
984.74,861.00
985.00,867.00
985.27,856.00
985.53,856.00
985.80,852.00
986.06,867.00
986.33,867.00
986.59,854.00
986.86,854.00
987.12,856.00
987.39,867.00
987.65,852.00
987.92,860.00
988.18,848.00
988.45,842.00
988.71,860.00
988.98,850.00
989.24,856.00
989.51,854.00
989.77,848.00
990.04,844.00
990.30,850.00
990.56,852.00
990.83,854.00
991.09,848.00
991.36,850.00
991.62,850.00
991.88,841.00
992.15,846.00
992.41,854.00
992.68,846.00
992.94,825.00
993.20,852.00
993.47,848.00
993.73,841.00
993.99,841.00
994.26,844.00
994.52,850.00
994.78,848.00
995.05,844.00
995.31,831.00
995.57,839.00
995.83,850.00
996.10,841.00
996.36,841.00
996.62,842.00
996.88,837.00
997.15,837.00
997.41,837.00
997.67,823.00
997.93,833.00
998.19,825.00
998.46,835.00
998.72,822.00
998.98,823.00
999.24,835.00
999.50,823.00
999.77,818.00
1000.03,841.00
1000.29,827.00
1000.55,823.00
1000.81,816.00
1001.07,820.00
1001.33,816.00
1001.59,822.00
1001.86,810.00
1002.12,831.00
1002.38,825.00
1002.64,820.00
1002.90,812.00
1003.16,810.00
1003.42,810.00
1003.68,801.00
1003.94,816.00
1004.20,818.00
1004.46,799.00
1004.72,795.00
1004.98,803.00
1005.24,804.00
1005.50,801.00
1005.76,812.00
1006.02,801.00
1006.28,810.00
1006.54,801.00
1006.80,808.00
1007.06,825.00
1007.32,801.00
1007.58,799.00
1007.84,797.00
1008.09,808.00
1008.35,795.00
1008.61,799.00
1008.87,810.00
1009.13,799.00
1009.39,784.00
1009.65,806.00
1009.91,806.00
1010.16,791.00
1010.42,801.00
1010.68,803.00
1010.94,795.00
1011.20,791.00
1011.46,797.00
1011.71,784.00
1011.97,789.00
1012.23,799.00
1012.49,789.00
1012.74,797.00
1013.00,786.00
1013.26,804.00
1013.52,786.00
1013.77,797.00
1014.03,797.00
1014.29,789.00
1014.54,786.00
1014.80,786.00
1015.06,778.00
1015.31,786.00
1015.57,780.00
1015.83,789.00
1016.08,782.00
1016.34,776.00
1016.60,787.00
1016.85,786.00
1017.11,782.00
1017.37,778.00
1017.62,780.00
1017.88,776.00
1018.13,784.00
1018.39,770.00
1018.64,772.00
1018.90,763.00
1019.15,778.00
1019.41,768.00
1019.67,768.00
1019.92,761.00
1020.18,774.00
1020.43,770.00
1020.69,767.00
1020.94,759.00
1021.19,767.00
1021.45,768.00
1021.70,768.00
1021.96,765.00
1022.21,770.00
1022.47,770.00
1022.72,765.00
1022.98,761.00
1023.23,767.00
1023.48,757.00
1023.74,770.00
1023.99,755.00
1024.24,757.00
1024.50,767.00
1024.75,761.00
1025.00,763.00
1025.26,748.00
1025.51,748.00
1025.76,757.00
1026.02,763.00
1026.27,753.00
1026.52,767.00
1026.78,761.00
1027.03,755.00
1027.28,748.00
1027.53,740.00
1027.79,759.00
1028.04,748.00
1028.29,751.00
1028.54,753.00
1028.79,753.00
1029.05,742.00
1029.30,753.00
1029.55,753.00
1029.80,746.00
1030.05,749.00
1030.30,759.00
1030.55,751.00
1030.81,746.00
1031.06,730.00
1031.31,748.00
1031.56,742.00
1031.81,751.00
1032.06,738.00
1032.31,748.00
1032.56,742.00
1032.81,740.00
1033.06,742.00
1033.31,744.00
1033.56,732.00
1033.81,734.00
1034.06,738.00
1034.31,729.00
1034.56,732.00
1034.81,715.00
1035.06,736.00
1035.31,744.00
1035.56,732.00
1035.81,732.00
1036.06,729.00
1036.31,729.00
1036.56,729.00
1036.81,730.00
1037.05,727.00
1037.30,727.00
1037.55,719.00
1037.80,729.00
1038.05,730.00
1038.30,719.00
1038.54,734.00
1038.79,729.00
1039.04,715.00
1039.29,721.00
1039.54,721.00
1039.78,729.00
1040.03,711.00
1040.28,723.00
1040.53,721.00
1040.77,711.00
1041.02,710.00
1041.27,727.00
1041.52,710.00
1041.76,729.00
1042.01,708.00
1042.26,715.00
1042.50,710.00
1042.75,715.00
1042.99,725.00
1043.24,723.00
1043.49,715.00
1043.73,713.00
1043.98,713.00
1044.23,706.00
1044.47,717.00
1044.72,719.00
1044.96,715.00
1045.21,708.00
1045.45,711.00
1045.70,710.00
1045.94,715.00
1046.19,710.00
1046.43,721.00
1046.68,698.00
1046.92,702.00
1047.17,708.00
1047.41,713.00
1047.66,694.00
1047.90,710.00
1048.14,700.00
1048.39,706.00
1048.63,702.00
1048.88,700.00
1049.12,717.00
1049.36,702.00
1049.61,696.00
1049.85,706.00
1050.09,708.00
1050.34,702.00
