
 <pre>


 \n INPUT PARAMETERS:\n
 RADIATION SCHEME:            2  streams\n
 w-grid:         461   289.500000       750.500000    
 equally spaced z-grid
 z-grid:          81   0.00000000       80.0000000    
  measurement point: index           1  altitude=   0.00000000    
 idate =     20240623  esfact(1) =   0.967984200    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=   60.2091103      long=   24.9647408      ut=   12.3333330    
 solar zenith angle =    42.0861969    
 \n SPECTRAL IRRADIANCE (W m-2 nm-1):\n
 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 289.50     290.50     1.931E-08  4.189E-08     6.120E-09   6.120E-08
 290.50     291.50     9.229E-08  2.036E-07     2.959E-08   2.959E-07
 291.50     292.51     5.348E-07  1.215E-06     1.750E-07   1.750E-06
 292.51     293.51     1.660E-06  3.822E-06     5.482E-07   5.482E-06
 293.51     294.51     6.549E-06  1.542E-05     2.197E-06   2.197E-05
 294.51     295.51     1.759E-05  4.192E-05     5.951E-06   5.951E-05
 295.51     296.52     6.639E-05  1.614E-04     2.277E-05   2.277E-04
 296.52     297.52     9.351E-05  2.293E-04     3.228E-05   3.228E-04
 297.52     298.52     3.073E-04  7.637E-04     1.071E-04   1.071E-03
 298.52     299.52     5.020E-04  1.253E-03     1.755E-04   1.755E-03
 299.52     300.52     8.031E-04  2.022E-03     2.825E-04   2.825E-03
 300.52     301.53     1.613E-03  4.072E-03     5.685E-04   5.685E-03
 301.53     302.53     2.114E-03  5.342E-03     7.456E-04   7.456E-03
 302.53     303.53     4.897E-03  1.240E-02     1.730E-03   1.730E-02
 303.53     304.53     5.984E-03  1.508E-02     2.106E-03   2.106E-02
 304.53     305.53     9.374E-03  2.362E-02     3.299E-03   3.299E-02
 305.53     306.54     9.829E-03  2.459E-02     3.442E-03   3.442E-02
 306.54     307.54     1.430E-02  3.560E-02     4.990E-03   4.990E-02
 307.54     308.54     1.853E-02  4.588E-02     6.442E-03   6.442E-02
 308.54     309.54     1.950E-02  4.771E-02     6.720E-03   6.720E-02
 309.54     310.55     2.211E-02  5.393E-02     7.604E-03   7.604E-02
 310.55     311.55     3.761E-02  9.059E-02     1.282E-02   1.282E-01
 311.55     312.55     3.741E-02  8.938E-02     1.268E-02   1.268E-01
 312.55     313.55     4.075E-02  9.651E-02     1.373E-02   1.373E-01
 313.55     314.55     4.778E-02  1.116E-01     1.594E-02   1.594E-01
 314.55     315.56     5.277E-02  1.225E-01     1.752E-02   1.752E-01
 315.56     316.56     4.385E-02  1.001E-01     1.439E-02   1.439E-01
 316.56     317.56     6.895E-02  1.560E-01     2.249E-02   2.249E-01
 317.56     318.56     5.958E-02  1.325E-01     1.920E-02   1.920E-01
 318.56     319.57     7.181E-02  1.588E-01     2.306E-02   2.306E-01
 319.57     320.57     8.444E-02  1.823E-01     2.667E-02   2.667E-01
 320.57     321.57     8.364E-02  1.802E-01     2.638E-02   2.638E-01
 321.57     322.57     9.244E-02  1.946E-01     2.871E-02   2.871E-01
 322.57     323.57     7.589E-02  1.573E-01     2.332E-02   2.332E-01
 323.57     324.58     1.008E-01  2.079E-01     3.086E-02   3.086E-01
 324.58     325.58     1.015E-01  2.037E-01     3.052E-02   3.052E-01
 325.58     326.58     1.417E-01  2.820E-01     4.237E-02   4.237E-01
 326.58     327.58     1.415E-01  2.779E-01     4.194E-02   4.194E-01
 327.58     328.58     1.347E-01  2.580E-01     3.927E-02   3.927E-01
 328.58     329.59     1.486E-01  2.827E-01     4.313E-02   4.313E-01
 329.59     330.59     1.687E-01  3.154E-01     4.841E-02   4.841E-01
 330.59     331.59     1.433E-01  2.622E-01     4.055E-02   4.055E-01
 331.59     332.59     1.531E-01  2.772E-01     4.303E-02   4.303E-01
 332.59     333.60     1.617E-01  2.884E-01     4.501E-02   4.501E-01
 333.60     334.60     1.486E-01  2.596E-01     4.082E-02   4.082E-01
 334.60     335.60     1.680E-01  2.900E-01     4.580E-02   4.580E-01
 335.60     336.60     1.467E-01  2.493E-01     3.961E-02   3.961E-01
 336.60     337.60     1.349E-01  2.249E-01     3.597E-02   3.597E-01
 337.60     338.61     1.654E-01  2.719E-01     4.373E-02   4.373E-01
 338.61     339.61     1.676E-01  2.716E-01     4.392E-02   4.392E-01
 339.61     340.61     1.948E-01  3.103E-01     5.051E-02   5.051E-01
 340.61     341.61     1.686E-01  2.647E-01     4.333E-02   4.333E-01
 341.61     342.62     1.880E-01  2.909E-01     4.789E-02   4.789E-01
 342.62     343.62     1.981E-01  3.017E-01     4.997E-02   4.997E-01
 343.62     344.62     1.487E-01  2.228E-01     3.715E-02   3.715E-01
 344.62     345.62     1.889E-01  2.791E-01     4.680E-02   4.680E-01
 345.62     346.62     1.825E-01  2.655E-01     4.480E-02   4.480E-01
 346.62     347.63     1.924E-01  2.758E-01     4.682E-02   4.682E-01
 347.63     348.63     1.795E-01  2.536E-01     4.331E-02   4.331E-01
 348.63     349.63     1.896E-01  2.641E-01     4.537E-02   4.537E-01
 349.63     350.63     2.140E-01  2.939E-01     5.079E-02   5.079E-01
 350.63     351.63     2.029E-01  2.747E-01     4.776E-02   4.776E-01
 351.63     352.64     2.124E-01  2.834E-01     4.959E-02   4.959E-01
 352.64     353.64     2.138E-01  2.813E-01     4.951E-02   4.951E-01
 353.64     354.64     2.456E-01  3.188E-01     5.643E-02   5.643E-01
 354.64     355.64     2.392E-01  3.062E-01     5.454E-02   5.454E-01
 355.64     356.65     2.400E-01  3.031E-01     5.431E-02   5.431E-01
 356.65     357.65     1.783E-01  2.221E-01     4.003E-02   4.003E-01
 357.65     358.65     1.722E-01  2.117E-01     3.840E-02   3.840E-01
 358.65     359.65     2.026E-01  2.458E-01     4.485E-02   4.485E-01
 359.65     360.65     2.590E-01  3.101E-01     5.691E-02   5.691E-01
 360.65     361.66     2.127E-01  2.513E-01     4.639E-02   4.639E-01
 361.66     362.66     2.141E-01  2.498E-01     4.639E-02   4.639E-01
 362.66     363.66     2.428E-01  2.796E-01     5.225E-02   5.225E-01
 363.66     364.66     2.590E-01  2.944E-01     5.534E-02   5.534E-01
 364.66     365.67     2.653E-01  2.978E-01     5.631E-02   5.631E-01
 365.67     366.67     3.293E-01  3.651E-01     6.944E-02   6.944E-01
 366.67     367.67     3.141E-01  3.439E-01     6.580E-02   6.580E-01
 367.67     368.67     2.870E-01  3.104E-01     5.973E-02   5.973E-01
 368.67     369.67     3.034E-01  3.241E-01     6.276E-02   6.276E-01
 369.67     370.68     3.259E-01  3.440E-01     6.699E-02   6.699E-01
 370.68     371.68     3.132E-01  3.267E-01     6.399E-02   6.399E-01
 371.68     372.68     2.735E-01  2.818E-01     5.553E-02   5.553E-01
 372.68     373.68     2.627E-01  2.675E-01     5.303E-02   5.303E-01
 373.68     374.68     2.607E-01  2.624E-01     5.231E-02   5.231E-01
 374.68     375.69     2.678E-01  2.664E-01     5.342E-02   5.342E-01
 375.69     376.69     2.925E-01  2.876E-01     5.801E-02   5.801E-01
 376.69     377.69     3.249E-01  3.159E-01     6.408E-02   6.408E-01
 377.69     378.69     4.069E-01  3.911E-01     7.980E-02   7.980E-01
 378.69     379.70     3.013E-01  2.863E-01     5.877E-02   5.877E-01
 379.70     380.70     3.251E-01  3.055E-01     6.305E-02   6.305E-01
 380.70     381.70     3.351E-01  3.114E-01     6.464E-02   6.464E-01
 381.70     382.70     2.530E-01  2.325E-01     4.855E-02   4.855E-01
 382.70     383.70     1.958E-01  1.779E-01     3.737E-02   3.737E-01
 383.70     384.71     2.464E-01  2.216E-01     4.680E-02   4.680E-01
 384.71     385.71     3.172E-01  2.821E-01     5.993E-02   5.993E-01
 385.71     386.71     2.781E-01  2.447E-01     5.229E-02   5.229E-01
 386.71     387.71     2.966E-01  2.582E-01     5.548E-02   5.548E-01
 387.71     388.72     2.909E-01  2.506E-01     5.415E-02   5.415E-01
 388.72     389.72     3.056E-01  2.605E-01     5.661E-02   5.661E-01
 389.72     390.72     3.603E-01  3.040E-01     6.643E-02   6.643E-01
 390.72     391.72     4.141E-01  3.458E-01     7.598E-02   7.598E-01
 391.72     392.72     3.556E-01  2.940E-01     6.496E-02   6.496E-01
 392.72     393.73     1.558E-01  1.275E-01     2.832E-02   2.832E-01
 393.73     394.73     2.736E-01  2.216E-01     4.951E-02   4.951E-01
 394.73     395.73     4.177E-01  3.349E-01     7.526E-02   7.526E-01
 395.73     396.73     3.259E-01  2.587E-01     5.847E-02   5.847E-01
 396.73     397.73     2.080E-01  1.635E-01     3.714E-02   3.714E-01
 397.73     398.74     4.711E-01  3.667E-01     8.378E-02   8.378E-01
 398.74     399.74     5.260E-01  4.054E-01     9.314E-02   9.314E-01
 399.74     400.74     5.316E-01  4.058E-01     9.374E-02   9.374E-01
 400.74     401.74     5.700E-01  4.309E-01     1.001E-01   1.001E+00
 401.74     402.75     5.705E-01  4.272E-01     9.976E-02   9.976E-01
 402.75     403.75     5.363E-01  3.978E-01     9.341E-02   9.341E-01
 403.75     404.75     5.511E-01  4.049E-01     9.560E-02   9.560E-01
 404.75     405.75     5.767E-01  4.198E-01     9.964E-02   9.964E-01
