
 <pre>


 \n INPUT PARAMETERS:\n
 RADIATION SCHEME:            2  streams\n
 w-grid:         461   289.500000       750.500000    
 equally spaced z-grid
 z-grid:          81   0.00000000       80.0000000    
  measurement point: index           1  altitude=   0.00000000    
 idate =     20240623  esfact(1) =   0.967997134    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=   60.2091103      long=   24.9647408      ut=   9.33333302    
 solar zenith angle =    38.3771782    
 \n SPECTRAL IRRADIANCE (W m-2 nm-1):\n
 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 289.50     290.50     5.010E-08  9.374E-08     1.438E-08   1.438E-07
 290.50     291.50     2.212E-07  4.219E-07     6.430E-08   6.430E-07
 291.50     292.51     1.161E-06  2.287E-06     3.448E-07   3.448E-06
 292.51     293.51     3.389E-06  6.780E-06     1.017E-06   1.017E-05
 293.51     294.51     1.241E-05  2.546E-05     3.787E-06   3.787E-05
 294.51     295.51     3.161E-05  6.580E-05     9.740E-06   9.740E-05
 295.51     296.52     1.123E-04  2.390E-04     3.513E-05   3.513E-04
 296.52     297.52     1.517E-04  3.265E-04     4.782E-05   4.782E-04
 297.52     298.52     4.763E-04  1.041E-03     1.518E-04   1.518E-03
 298.52     299.52     7.536E-04  1.658E-03     2.412E-04   2.412E-03
 299.52     300.52     1.164E-03  2.590E-03     3.754E-04   3.754E-03
 300.52     301.53     2.276E-03  5.086E-03     7.362E-04   7.362E-03
 301.53     302.53     2.915E-03  6.532E-03     9.448E-04   9.448E-03
 302.53     303.53     6.591E-03  1.483E-02     2.142E-03   2.142E-02
 303.53     304.53     7.933E-03  1.779E-02     2.572E-03   2.572E-02
 304.53     305.53     1.219E-02  2.738E-02     3.956E-03   3.956E-02
 305.53     306.54     1.262E-02  2.819E-02     4.081E-03   4.081E-02
 306.54     307.54     1.811E-02  4.031E-02     5.842E-03   5.842E-02
 307.54     308.54     2.320E-02  5.142E-02     7.462E-03   7.462E-02
 308.54     309.54     2.422E-02  5.313E-02     7.735E-03   7.735E-02
 309.54     310.55     2.713E-02  5.941E-02     8.655E-03   8.655E-02
 310.55     311.55     4.591E-02  9.935E-02     1.453E-02   1.453E-01
 311.55     312.55     4.530E-02  9.736E-02     1.427E-02   1.427E-01
 312.55     313.55     4.902E-02  1.045E-01     1.536E-02   1.536E-01
 313.55     314.55     5.725E-02  1.205E-01     1.777E-02   1.777E-01
 314.55     315.56     6.277E-02  1.314E-01     1.942E-02   1.942E-01
 315.56     316.56     5.204E-02  1.072E-01     1.593E-02   1.593E-01
 316.56     317.56     8.140E-02  1.664E-01     2.478E-02   2.478E-01
 317.56     318.56     7.021E-02  1.412E-01     2.114E-02   2.114E-01
 318.56     319.57     8.411E-02  1.684E-01     2.525E-02   2.525E-01
 319.57     320.57     9.898E-02  1.935E-01     2.925E-02   2.925E-01
