
 <pre>


 \n INPUT PARAMETERS:\n
 RADIATION SCHEME:            2  streams\n
 w-grid:         461   289.500000       750.500000    
 equally spaced z-grid
 z-grid:          81   0.00000000       80.0000000    
  measurement point: index           1  altitude=   0.00000000    
 idate =     20240623  esfact(1) =   0.967971444    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=   60.2091103      long=   24.9647408      ut=   15.3333330    
 solar zenith angle =    62.1181755    
 \n SPECTRAL IRRADIANCE (W m-2 nm-1):\n
 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 363.66     364.66     8.591E-02  2.091E-01     2.950E-02   2.950E-01
 364.66     365.67     8.850E-02  2.119E-01     3.004E-02   3.004E-01
 365.67     366.67     1.105E-01  2.601E-01     3.706E-02   3.706E-01
 366.67     367.67     1.059E-01  2.455E-01     3.514E-02   3.514E-01
 367.67     368.67     9.731E-02  2.219E-01     3.192E-02   3.192E-01
 368.67     369.67     1.034E-01  2.322E-01     3.356E-02   3.356E-01
 369.67     370.68     1.117E-01  2.468E-01     3.585E-02   3.585E-01
 370.68     371.68     1.079E-01  2.347E-01     3.426E-02   3.426E-01
 371.68     372.68     9.468E-02  2.028E-01     2.975E-02   2.975E-01
 372.68     373.68     9.142E-02  1.929E-01     2.843E-02   2.843E-01
 373.68     374.68     9.117E-02  1.894E-01     2.806E-02   2.806E-01
 374.68     375.69     9.412E-02  1.927E-01     2.868E-02   2.868E-01
 375.69     376.69     1.033E-01  2.083E-01     3.116E-02   3.116E-01
 376.69     377.69     1.153E-01  2.291E-01     3.444E-02   3.444E-01
 377.69     378.69     1.451E-01  2.841E-01     4.291E-02   4.291E-01
 378.69     379.70     1.079E-01  2.083E-01     3.162E-02   3.162E-01
 379.70     380.70     1.170E-01  2.225E-01     3.395E-02   3.395E-01
 380.70     381.70     1.211E-01  2.272E-01     3.483E-02   3.483E-01
 381.70     382.70     9.183E-02  1.699E-01     2.617E-02   2.617E-01
 382.70     383.70     7.138E-02  1.302E-01     2.016E-02   2.016E-01
 383.70     384.71     9.024E-02  1.623E-01     2.526E-02   2.526E-01
 384.71     385.71     1.166E-01  2.070E-01     3.236E-02   3.236E-01
 385.71     386.71     1.027E-01  1.798E-01     2.825E-02   2.825E-01
 386.71     387.71     1.100E-01  1.900E-01     3.000E-02   3.000E-01
 387.71     388.72     1.083E-01  1.846E-01     2.930E-02   2.930E-01
 388.72     389.72     1.143E-01  1.922E-01     3.064E-02   3.064E-01
 389.72     390.72     1.353E-01  2.245E-01     3.598E-02   3.598E-01
 390.72     391.72     1.561E-01  2.557E-01     4.118E-02   4.118E-01
 391.72     392.72     1.346E-01  2.177E-01     3.523E-02   3.523E-01
 392.72     393.73     5.919E-02  9.450E-02     1.537E-02   1.537E-01
 393.73     394.73     1.043E-01  1.645E-01     2.688E-02   2.688E-01
 394.73     395.73     1.599E-01  2.489E-01     4.088E-02   4.088E-01
 395.73     396.73     1.253E-01  1.926E-01     3.178E-02   3.178E-01
 396.73     397.73     8.022E-02  1.218E-01     2.020E-02   2.020E-01
 397.73     398.74     1.824E-01  2.735E-01     4.559E-02   4.559E-01
 398.74     399.74     2.044E-01  3.028E-01     5.072E-02   5.072E-01
 399.74     400.74     2.073E-01  3.034E-01     5.107E-02   5.107E-01
 400.74     401.74     2.230E-01  3.226E-01     5.456E-02   5.456E-01
 401.74     402.75     2.240E-01  3.201E-01     5.441E-02   5.441E-01
 402.75     403.75     2.113E-01  2.985E-01     5.098E-02   5.098E-01
 403.75     404.75     2.179E-01  3.041E-01     5.220E-02   5.220E-01
 404.75     405.75     2.288E-01  3.156E-01     5.444E-02   5.444E-01
 405.75     406.75     2.074E-01  2.828E-01     4.902E-02   4.902E-01
 406.75     407.76     2.205E-01  2.974E-01     5.179E-02   5.179E-01
 407.76     408.76     2.200E-01  2.932E-01     5.132E-02   5.132E-01
 408.76     409.76     2.479E-01  3.268E-01     5.747E-02   5.747E-01
 409.76     410.76     2.005E-01  2.613E-01     4.617E-02   4.617E-01
 410.76     411.77     2.477E-01  3.193E-01     5.670E-02   5.670E-01
 411.77     412.77     2.508E-01  3.197E-01     5.705E-02   5.705E-01
 412.77     413.77     2.401E-01  3.028E-01     5.429E-02   5.429E-01
 413.77     414.77     2.499E-01  3.117E-01     5.616E-02   5.616E-01
 414.77     415.77     2.488E-01  3.070E-01     5.557E-02   5.557E-01
 415.77     416.78     2.668E-01  3.257E-01     5.925E-02   5.925E-01
 416.78     417.78     2.439E-01  2.945E-01     5.384E-02   5.384E-01
 417.78     418.78     2.547E-01  3.044E-01     5.591E-02   5.591E-01
 418.78     419.78     2.544E-01  3.009E-01     5.553E-02   5.553E-01
 419.78     420.78     2.489E-01  2.913E-01     5.402E-02   5.402E-01
 420.78     421.79     2.747E-01  3.182E-01     5.929E-02   5.929E-01
 421.79     422.79     2.612E-01  2.994E-01     5.606E-02   5.606E-01
 422.79     423.79     2.561E-01  2.906E-01     5.467E-02   5.467E-01
 423.79     424.79     2.748E-01  3.087E-01     5.834E-02   5.834E-01
 424.79     425.80     2.535E-01  2.819E-01     5.354E-02   5.354E-01
 425.80     426.80     2.732E-01  3.008E-01     5.740E-02   5.740E-01
 426.80     427.80     2.406E-01  2.623E-01     5.028E-02   5.028E-01
 427.80     428.80     2.684E-01  2.898E-01     5.581E-02   5.581E-01
 428.80     429.80     2.519E-01  2.694E-01     5.213E-02   5.213E-01
 429.80     430.81     1.931E-01  2.045E-01     3.976E-02   3.976E-01
 430.81     431.81     2.198E-01  2.305E-01     4.503E-02   4.503E-01
 431.81     432.81     2.766E-01  2.873E-01     5.639E-02   5.639E-01
 432.81     433.81     3.153E-01  3.243E-01     6.396E-02   6.396E-01
 433.81     434.82     2.462E-01  2.509E-01     4.971E-02   4.971E-01
 434.82     435.82     2.962E-01  2.990E-01     5.952E-02   5.952E-01
 435.82     436.82     3.262E-01  3.262E-01     6.524E-02   6.524E-01
 436.82     437.82     3.018E-01  2.990E-01     6.008E-02   6.008E-01
 437.82     438.82     2.808E-01  2.757E-01     5.565E-02   5.565E-01
 438.82     439.83     3.042E-01  2.959E-01     6.001E-02   6.001E-01
 439.83     440.83     3.064E-01  2.954E-01     6.018E-02   6.018E-01
 440.83     441.83     3.266E-01  3.121E-01     6.387E-02   6.387E-01
 441.83     442.83     3.475E-01  3.290E-01     6.765E-02   6.765E-01
 442.83     443.83     3.322E-01  3.118E-01     6.440E-02   6.440E-01
 443.83     444.84     3.533E-01  3.287E-01     6.820E-02   6.820E-01
 444.84     445.84     3.373E-01  3.110E-01     6.482E-02   6.482E-01
 445.84     446.84     3.262E-01  2.982E-01     6.244E-02   6.244E-01
 446.84     447.84     3.589E-01  3.252E-01     6.841E-02   6.841E-01
 447.84     448.85     3.595E-01  3.229E-01     6.824E-02   6.824E-01
 448.85     449.85     3.509E-01  3.125E-01     6.634E-02   6.634E-01
 449.85     450.85     3.840E-01  3.391E-01     7.231E-02   7.231E-01
 450.85     451.85     3.830E-01  3.354E-01     7.184E-02   7.184E-01
 451.85     452.85     3.679E-01  3.195E-01     6.874E-02   6.874E-01
 452.85     453.86     3.410E-01  2.937E-01     6.347E-02   6.347E-01
 453.86     454.86     3.805E-01  3.249E-01     7.054E-02   7.054E-01
