 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             4  streams

 w-grid:          561    280.0000        420.0000    
 equally spaced z-grid
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     30.00000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 298.75     299.00     1.184E-03  2.325E-03     3.510E-04   3.510E-03
 299.00     299.25     2.064E-03  4.064E-03     6.128E-04   6.128E-03
 299.25     299.50     1.933E-03  3.826E-03     5.759E-04   5.759E-03
 299.50     299.75     1.851E-03  3.681E-03     5.532E-04   5.532E-03
 299.75     300.00     3.105E-03  6.183E-03     9.287E-04   9.287E-03
 300.00     300.25     1.353E-03  2.694E-03     4.047E-04   4.047E-03
 300.25     300.50     1.754E-03  3.495E-03     5.249E-04   5.249E-03
 300.50     300.75     3.613E-03  7.202E-03     1.082E-03   1.082E-02
 300.75     301.00     2.566E-03  5.129E-03     7.695E-04   7.695E-03
 301.00     301.25     4.531E-03  9.096E-03     1.363E-03   1.363E-02
 301.25     301.50     4.978E-03  1.003E-02     1.500E-03   1.500E-02
 301.50     301.75     5.782E-03  1.166E-02     1.744E-03   1.744E-02
 301.75     302.00     4.352E-03  8.759E-03     1.311E-03   1.311E-02
 302.00     302.25     2.326E-03  4.677E-03     7.003E-04   7.003E-03
 302.25     302.50     7.101E-03  1.429E-02     2.139E-03   2.139E-02
 302.50     302.75     5.808E-03  1.172E-02     1.753E-03   1.753E-02
 302.75     303.00     1.220E-02  2.469E-02     3.689E-03   3.689E-02
 303.00     303.25     9.615E-03  1.952E-02     2.914E-03   2.914E-02
 303.25     303.50     1.444E-02  2.935E-02     4.380E-03   4.380E-02
 303.50     303.75     1.498E-02  3.042E-02     4.540E-03   4.540E-02
 303.75     304.00     8.702E-03  1.763E-02     2.634E-03   2.634E-02
 304.00     304.25     1.251E-02  2.527E-02     3.777E-03   3.777E-02
 304.25     304.50     1.246E-02  2.521E-02     3.767E-03   3.767E-02
 304.50     304.75     1.848E-02  3.744E-02     5.593E-03   5.593E-02
 304.75     305.00     1.100E-02  2.236E-02     3.336E-03   3.336E-02
 305.00     305.25     1.977E-02  4.030E-02     6.007E-03   6.007E-02
 305.25     305.50     2.507E-02  5.119E-02     7.625E-03   7.625E-02
 305.50     305.75     2.067E-02  4.213E-02     6.280E-03   6.280E-02
