 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             4  streams

 w-grid:          561    280.0000        420.0000    
 equally spaced z-grid
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     75.00000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 298.75     299.00     4.625E-08  5.047E-05     5.051E-06   5.051E-05
 299.00     299.25     9.712E-08  9.022E-05     9.031E-06   9.031E-05
 299.25     299.50     1.157E-07  8.817E-05     8.828E-06   8.828E-05
 299.50     299.75     1.362E-07  8.822E-05     8.836E-06   8.836E-05
 299.75     300.00     2.587E-07  1.521E-04     1.523E-05   1.523E-04
 300.00     300.25     1.228E-07  6.747E-05     6.760E-06   6.760E-05
 300.25     300.50     1.810E-07  9.031E-05     9.050E-06   9.050E-05
 300.50     300.75     4.136E-07  1.909E-04     1.913E-05   1.913E-04
 300.75     301.00     3.431E-07  1.422E-04     1.425E-05   1.425E-04
 301.00     301.25     7.313E-07  2.683E-04     2.690E-05   2.690E-04
 301.25     301.50     9.344E-07  3.119E-04     3.128E-05   3.128E-04
 301.50     301.75     1.207E-06  3.767E-04     3.779E-05   3.779E-04
 301.75     302.00     9.601E-07  2.882E-04     2.892E-05   2.892E-04
 302.00     302.25     5.508E-07  1.578E-04     1.584E-05   1.584E-04
 302.25     302.50     1.874E-06  5.038E-04     5.057E-05   5.057E-04
 302.50     302.75     1.753E-06  4.380E-04     4.398E-05   4.398E-04
 302.75     303.00     4.262E-06  9.878E-04     9.921E-05   9.921E-04
 303.00     303.25     3.845E-06  8.347E-04     8.385E-05   8.385E-04
 303.25     303.50     6.300E-06  1.307E-03     1.313E-04   1.313E-03
 303.50     303.75     6.989E-06  1.398E-03     1.405E-04   1.405E-03
 303.75     304.00     4.243E-06  8.255E-04     8.297E-05   8.297E-04
 304.00     304.25     6.300E-06  1.197E-03     1.204E-04   1.204E-03
 304.25     304.50     6.941E-06  1.260E-03     1.267E-04   1.267E-03
 304.50     304.75     1.134E-05  1.971E-03     1.983E-04   1.983E-03
 304.75     305.00     7.687E-06  1.269E-03     1.277E-04   1.277E-03
 305.00     305.25     1.552E-05  2.449E-03     2.465E-04   2.465E-03
 305.25     305.50     2.164E-05  3.293E-03     3.314E-04   3.314E-03
 305.50     305.75     1.872E-05  2.778E-03     2.796E-04   2.796E-03
 305.75     306.00     1.006E-05  1.465E-03     1.475E-04   1.475E-03
 306.00     306.25     1.935E-05  2.751E-03     2.770E-04   2.770E-03
 306.25     306.50     2.261E-05  3.160E-03     3.183E-04   3.183E-03
 306.50     306.75     2.184E-05  2.956E-03     2.978E-04   2.978E-03
 306.75     307.00     2.341E-05  3.076E-03     3.099E-04   3.099E-03
 307.00     307.25     4.213E-05  5.351E-03     5.393E-04   5.393E-03
 307.25     307.50     4.449E-05  5.483E-03     5.527E-04   5.527E-03
 307.50     307.75     4.544E-05  5.464E-03     5.510E-04   5.510E-03
 307.75     308.00     5.200E-05  6.148E-03     6.200E-04   6.200E-03
 308.00     308.25     5.990E-05  6.981E-03     7.041E-04   7.041E-03
 308.25     308.50     4.467E-05  5.101E-03     5.146E-04   5.146E-03
 308.50     308.75     8.326E-05  9.313E-03     9.396E-04   9.396E-03
 308.75     309.00     5.957E-05  6.561E-03     6.620E-04   6.620E-03
 309.00     309.25     5.811E-05  6.273E-03     6.331E-04   6.331E-03
 309.25     309.50     4.966E-05  5.237E-03     5.287E-04   5.287E-03
 309.50     309.75     9.760E-05  1.003E-02     1.012E-03   1.012E-02
 309.75     310.00     8.419E-05  8.487E-03     8.571E-04   8.571E-03
 310.00     310.25     5.590E-05  5.551E-03     5.607E-04   5.607E-03
 310.25     310.50     1.035E-04  1.014E-02     1.025E-03   1.025E-02
 310.50     310.75     1.440E-04  1.386E-02     1.400E-03   1.400E-02
 310.75     311.00     1.798E-04  1.702E-02     1.720E-03   1.720E-02
 311.00     311.25     1.746E-04  1.627E-02     1.645E-03   1.645E-02
 311.25     311.50     1.793E-04  1.649E-02     1.667E-03   1.667E-02
 311.50     311.75     1.820E-04  1.647E-02     1.665E-03   1.665E-02
 311.75     312.00     1.673E-04  1.486E-02     1.502E-03   1.502E-02
 312.00     312.25     1.718E-04  1.501E-02     1.518E-03   1.518E-02
 312.25     312.50     2.144E-04  1.843E-02     1.865E-03   1.865E-02
 312.50     312.75     2.289E-04  1.938E-02     1.961E-03   1.961E-02
 312.75     313.00     2.553E-04  2.130E-02     2.156E-03   2.156E-02
 313.00     313.25     2.710E-04  2.230E-02     2.257E-03   2.257E-02
 313.25     313.50     2.444E-04  1.987E-02     2.011E-03   2.011E-02
 313.50     313.75     2.424E-04  1.947E-02     1.971E-03   1.971E-02
 313.75     314.00     3.202E-04  2.533E-02     2.565E-03   2.565E-02
 314.00     314.25     3.573E-04  2.784E-02     2.820E-03   2.820E-02
 314.25     314.50     2.939E-04  2.256E-02     2.285E-03   2.285E-02
 314.50     314.75     2.678E-04  2.025E-02     2.052E-03   2.052E-02
 314.75     315.00     3.775E-04  2.818E-02     2.855E-03   2.855E-02
 315.00     315.25     4.295E-04  3.167E-02     3.210E-03   3.210E-02
 315.25     315.50     4.357E-04  3.171E-02     3.215E-03   3.215E-02
 315.50     315.75     3.523E-04  2.535E-02     2.570E-03   2.570E-02
 315.75     316.00     2.333E-04  1.655E-02     1.679E-03   1.679E-02
 316.00     316.25     2.916E-04  2.041E-02     2.070E-03   2.070E-02
 316.25     316.50     4.382E-04  3.028E-02     3.072E-03   3.072E-02
 316.50     316.75     4.475E-04  3.054E-02     3.099E-03   3.099E-02
 316.75     317.00     5.380E-04  3.625E-02     3.679E-03   3.679E-02
 317.00     317.25     6.306E-04  4.196E-02     4.259E-03   4.259E-02
 317.25     317.50     6.830E-04  4.487E-02     4.556E-03   4.556E-02
 317.50     317.75     6.063E-04  3.936E-02     3.997E-03   3.997E-02
 317.75     318.00     6.035E-04  3.871E-02     3.931E-03   3.931E-02
 318.00     318.25     3.977E-04  2.519E-02     2.559E-03   2.559E-02
